Timestamp for sample frequency every 1 min,Temperature (°C),Barometric Pressure (mb)
2024-05-05 08:00:00,17.8925,998.6700
2024-05-05 08:01:00,17.8800,998.6600
2024-05-05 08:02:00,17.9025,998.6300
2024-05-05 08:03:00,17.9025,998.7000
2024-05-05 08:04:00,17.9050,998.6900
2024-05-05 08:05:00,17.9100,998.6300
2024-05-05 08:06:00,17.9300,998.7100
2024-05-05 08:07:00,17.9050,998.7599
2024-05-05 08:08:00,17.9200,998.7100
2024-05-05 08:09:00,17.9100,998.7200
2024-05-05 08:10:00,17.9075,998.7200
2024-05-05 08:11:00,17.9100,998.7599
2024-05-05 08:12:00,17.9075,998.7599
2024-05-05 08:13:00,17.9150,998.7300
2024-05-05 08:14:00,17.9025,998.7400
2024-05-05 08:15:00,17.9225,998.7900
2024-05-05 08:16:00,17.8925,998.7900
2024-05-05 08:17:00,17.9125,998.8900
2024-05-05 08:18:00,17.9425,998.8000
2024-05-05 08:19:00,17.9025,998.8300
2024-05-05 08:20:00,17.9125,998.8300
2024-05-05 08:21:00,17.9225,998.8300
2024-05-05 08:22:00,17.8975,998.8800
2024-05-05 08:23:00,17.9225,998.9000
2024-05-05 08:24:00,17.9050,998.9100
2024-05-05 08:25:00,17.9275,998.8800
2024-05-05 08:26:00,17.9125,998.9400
2024-05-05 08:27:00,17.9325,999.0000
2024-05-05 08:28:00,17.9200,998.8700
2024-05-05 08:29:00,17.9100,998.9800
2024-05-05 08:30:00,17.9300,998.9800
2024-05-05 08:31:00,17.9150,998.9800
2024-05-05 08:32:00,17.8975,998.9100
2024-05-05 08:33:00,17.9000,998.9200
2024-05-05 08:34:00,17.9175,998.9900
2024-05-05 08:35:00,17.9225,998.9700
2024-05-05 08:36:00,17.9175,998.9900
2024-05-05 08:37:00,17.9125,998.9100
2024-05-05 08:38:00,17.9575,998.9500
2024-05-05 08:39:00,17.9125,999.0099
2024-05-05 08:40:00,17.9175,999.0400
2024-05-05 08:41:00,17.9125,999.0400
2024-05-05 08:42:00,17.9225,999.0800
2024-05-05 08:43:00,17.9450,999.1200
2024-05-05 08:44:00,17.9525,999.0600
2024-05-05 08:45:00,17.9700,999.1600
2024-05-05 08:46:00,17.9500,999.1400
2024-05-05 08:47:00,17.9700,999.0800
2024-05-05 08:48:00,17.9575,999.1700
2024-05-05 08:49:00,17.9700,999.0800
2024-05-05 08:50:00,17.9675,999.1600
2024-05-05 08:51:00,17.9850,999.1300
2024-05-05 08:52:00,18.0100,999.1200
2024-05-05 08:53:00,18.0175,999.1000
2024-05-05 08:54:00,18.0350,999.1200
2024-05-05 08:55:00,18.0300,999.1400
2024-05-05 08:56:00,18.0475,999.0800
2024-05-05 08:57:00,18.0525,999.1100
2024-05-05 08:58:00,18.0875,999.0900
2024-05-05 08:59:00,18.0950,999.1500
2024-05-05 09:00:00,18.1000,999.0400
2024-05-05 09:01:00,18.1425,999.1300
2024-05-05 09:02:00,18.1475,999.1200
2024-05-05 09:03:00,18.1700,999.1300
2024-05-05 09:04:00,18.1725,999.0800
2024-05-05 09:05:00,18.1775,999.2000
2024-05-05 09:06:00,18.1700,999.1900
2024-05-05 09:07:00,18.1875,999.2000
2024-05-05 09:08:00,18.1975,999.2100
2024-05-05 09:09:00,18.2425,999.2500
2024-05-05 09:10:00,18.2450,999.1300
2024-05-05 09:11:00,18.2575,999.2200
2024-05-05 09:12:00,18.2875,999.2200
2024-05-05 09:13:00,18.2675,999.2000
2024-05-05 09:14:00,18.2750,999.2100
2024-05-05 09:15:00,18.2825,999.2400
2024-05-05 09:16:00,18.2825,999.1900
2024-05-05 09:17:00,18.2925,999.2599
2024-05-05 09:18:00,18.2950,999.2100
2024-05-05 09:19:00,18.3250,999.2500
2024-05-05 09:20:00,18.3350,999.2599
2024-05-05 09:21:00,18.3400,999.1900
2024-05-05 09:22:00,18.3675,999.2500
2024-05-05 09:23:00,18.3450,999.2900
2024-05-05 09:24:00,18.3650,999.2900
2024-05-05 09:25:00,18.3750,999.2200
2024-05-05 09:26:00,18.3825,999.3500
2024-05-05 09:27:00,18.3850,999.3100
2024-05-05 09:28:00,18.3850,999.2500
2024-05-05 09:29:00,18.4125,999.2400
2024-05-05 09:30:00,18.4200,999.3600
2024-05-05 09:31:00,18.3975,999.3400
2024-05-05 09:32:00,18.3925,999.2800
2024-05-05 09:33:00,18.4275,999.2800
2024-05-05 09:34:00,18.3875,999.3200
2024-05-05 09:35:00,18.4375,999.3100
2024-05-05 09:36:00,18.4475,999.3300
2024-05-05 09:37:00,18.4525,999.3600
2024-05-05 09:38:00,18.4600,999.3500
2024-05-05 09:39:00,18.4475,999.3200
