Index,Slice0(degree)
0,49.0001
1,47.9997
2,46.9998
3,45.9999
4,44.9995
5,43.9991
6,42.9987
7,41.9992
8,41.0003
9,39.9994
10,39.0005
11,37.9991
12,36.9992
13,35.9998
14,34.9994
15,33.9994
16,32.999
17,31.9996
18,30.9997
19,30.0003
20,28.9994
21,28
22,26.9996
23,26.0002
24,25.0007
25,23.9998
26,22.9999
27,22.001
28,21.0011
29,20.0007
30,19.0013
31,18.0018
32,17.0019
33,16.0015
34,15.0026
35,14.0041
36,13.0047
37,12.0048
38,11.0039
39,10.0045
40,9.0036
41,8.00369
42,7.00378
43,6.00435
44,5.00493
45,4.00453
46,3.00364
47,2.00422
48,1.0043
49,0.00488
50,-0.994544
51,-1.99494
52,-2.99534
53,-3.99574
54,-4.9937
55,-5.99606
56,-6.99548
57,-7.99637
58,-8.99482
59,-9.99473
60,-10.9951
61,-11.996
62,-12.9964
63,-13.9958
64,-14.9997
65,-15.9976
66,-16.9951
67,-17.9974
68,-18.9959
69,-19.9963
70,-20.9957
71,-21.9976
72,-22.998
73,-23.9974
74,-24.9973
75,-25.9977
76,-26.9957
77,-27.9956
78,-28.996
79,-29.9969
80,-30.9968
81,-31.9967
82,-32.9966
83,-33.9965
84,-34.9959
85,-35.9954
86,-36.9972
87,-37.9962
88,-38.9971
89,-39.996
90,-40.9954
91,-41.9963
92,-42.9952
93,-43.9952
94,-44.9946
95,-45.9955
96,-46.9964
97,-47.9953
98,-48.9957
99,-49.9951
100,-50.996
