 ,Degree
Index,Slice0
0, 48.9996
1, 47.9992
2, 46.9998
3, 45.9999
4, 44.999
5, 43.9991
6, 42.9987
7, 41.9992
8, 41.0003
9, 39.9989
10, 39.0005
11, 37.9991
12, 36.9992
13, 35.9998
14, 35.0003
15, 33.9999
16, 33.0005
17, 31.9996
18, 30.9997
19, 30.0003
20, 28.9999
21, 28.0005
22, 27.001
23, 25.9997
24, 25.0007
25, 23.9998
26, 23.0009
27, 22.0015
28, 21.0016
29, 20.0012
30, 19.0013
31, 18.0009
32, 17.0019
33, 16.002
34, 15.0036
35, 14.0032
36, 13.0023
37, 12.0048
38, 11.0044
39, 10.0045
40, 9.00409
41, 8.00466
42, 7.0028
43, 6.00533
44, 5.00444
45, 4.00355
46, 3.00462
47, 2.00519
48, 1.00577
49, 0.005368
50, -0.994056
51, -1.99397
52, -2.99583
53, -3.99428
54, -4.99419
55, -5.99557
56, -6.99548
57, -7.99588
58, -8.99482
59, -9.99424
60, -10.9951
61, -11.9955
62, -12.9964
63, -13.9958
64, -14.9992
65, -15.9981
66, -16.997
67, -17.9965
68, -18.9969
69, -19.9968
70, -20.9977
71, -21.9976
72, -22.998
73, -23.9974
74, -24.9973
75, -25.9972
76, -26.9957
77, -27.9966
78, -28.9965
79, -29.9974
80, -30.9978
81, -31.9982
82, -32.9966
83, -33.9975
84, -34.9974
85, -35.9973
86, -36.9972
87, -37.9976
88, -38.9971
89, -39.997
90, -40.9959
91, -41.9973
92, -42.9952
93, -43.9961
94, -44.996
95, -45.9964
96, -46.9973
97, -47.9963
98, -48.9952
99, -49.9961
100, -50.9955
