Index,Slice0 (degrees/aqurie)
0,1.00138
1,1.0004
2,0.999912
3,0.999912
4,1.0004
5,1.0004
6,1.0004
7,0.999424
8,0.998936
9,1.00089
10,0.998936
11,1.00138
12,0.999912
13,0.999424
14,1.0004
15,0.999912
16,1.0004
17,0.999424
18,0.999912
19,0.999424
20,1.00089
21,0.999424
22,1.0004
23,0.999424
24,0.999424
25,1.00089
26,0.999912
27,0.998936
28,0.999912
29,1.0004
30,0.999424
31,0.999424
32,0.999912
33,1.0004
34,0.998936
35,0.998448
36,0.999424
37,0.999912
38,1.00089
39,0.999424
40,1.00089
41,0.999912
42,0.999912
43,0.999424
44,0.999424
45,1.0004
46,1.00089
47,0.999424
48,0.999912
49,0.999424
50,0.999424
51,1.0004
52,1.0004
53,1.0004
54,0.99796
55,1.00235
56,0.999424
57,1.00089
58,0.998448
59,0.999912
60,1.0004
61,1.00089
62,1.0004
63,0.999424
64,1.00382
65,0.99796
66,0.997472
67,1.00235
68,0.998448
69,1.0004
70,0.999424
71,1.00186
72,1.0004
73,0.999424
74,0.999912
75,1.0004
76,0.99796
77,0.999912
78,1.0004
79,1.00089
80,0.999912
81,0.999912
82,0.999912
83,0.999912
84,0.999424
85,0.999424
86,1.00186
87,0.998936
88,1.00089
89,0.998936
90,0.999424
91,1.00089
92,0.998936
93,0.999912
94,0.999424
95,1.00089
96,1.00089
97,0.998936
98,1.0004
99,0.999424
100,1.00089
