 ,degrees/acquire
Index,Slice0
0, 1.00186
1, 1.0004
2, 0.999424
3, 0.999912
4, 1.00089
5, 0.999912
6, 1.0004
7, 0.999424
8, 0.998936
9, 1.00138
10, 0.998448
11, 1.00138
12, 0.999912
13, 0.999424
14, 0.999424
15, 1.0004
16, 0.999424
17, 1.00089
18, 0.999912
19, 0.999424
20, 1.0004
21, 0.999424
22, 0.999424
23, 1.00138
24, 0.998936
25, 1.00089
26, 0.998936
27, 0.999424
28, 0.999912
29, 1.0004
30, 0.999912
31, 1.0004
32, 0.998936
33, 0.999912
34, 0.998448
35, 1.0004
36, 1.00089
37, 0.997472
38, 1.0004
39, 0.999912
40, 1.0004
41, 0.999424
42, 1.00186
43, 0.997472
44, 1.00089
45, 1.00089
46, 0.998936
47, 0.999424
48, 0.999424
49, 1.0004
50, 0.999424
51, 0.999912
52, 1.00186
53, 0.998448
54, 0.999912
55, 1.00138
56, 0.999912
57, 1.0004
58, 0.998936
59, 0.999424
60, 1.00089
61, 1.0004
62, 1.00089
63, 0.999424
64, 1.00333
65, 0.998936
66, 0.998936
67, 0.999424
68, 1.0004
69, 0.999912
70, 1.00089
71, 0.999912
72, 1.0004
73, 0.999424
74, 0.999912
75, 0.999912
76, 0.998448
77, 1.00089
78, 0.999912
79, 1.00089
80, 1.0004
81, 1.0004
82, 0.998448
83, 1.00089
84, 0.999912
85, 0.999912
86, 0.999912
87, 1.0004
88, 0.999424
89, 0.999912
90, 0.998936
91, 1.00138
92, 0.99796
93, 1.00089
94, 0.999912
95, 1.0004
96, 1.00089
97, 0.998936
98, 0.998936
99, 1.00089
100, 0.999424
