Index,Slice0(um)
0,-57.9792
1,-57.9762
2,-57.9731
3,-57.9701
4,-57.9686
5,-57.964
6,-57.958
7,-57.9534
8,-57.9504
9,-57.9443
10,-57.9413
11,-57.9413
12,-57.9398
13,-57.9398
14,-57.9383
15,-57.9383
16,-57.9368
17,-57.9368
18,-57.9368
19,-57.9368
20,-57.9398
21,-57.9383
22,-57.9398
23,-57.9383
24,-57.9383
25,-57.9398
26,-57.9383
27,-57.9383
28,-57.9398
29,-57.9398
30,-57.9383
31,-57.9398
32,-57.9398
33,-57.9398
34,-57.9398
35,-57.9398
36,-57.9398
37,-57.9383
38,-57.9383
39,-57.9398
40,-57.9383
41,-57.9398
42,-57.9398
43,-57.9368
44,-57.9383
45,-57.9413
46,-57.9368
47,-57.9383
48,-57.9337
49,-57.9368
50,-57.9368
51,-57.9398
52,-57.9383
53,-57.9383
54,-57.9398
55,-57.9383
56,-57.9398
57,-57.9383
58,-57.9428
59,-57.9398
60,-57.9368
61,-57.9352
62,-57.9352
63,-57.9368
64,-57.9368
65,-57.9352
66,-57.9368
67,-57.9368
68,-57.9337
69,-57.9322
70,-57.9322
71,-57.9337
72,-57.9322
73,-57.9322
74,-57.9307
75,-57.9322
76,-57.9292
77,-57.9292
78,-57.9292
79,-57.9292
80,-57.9307
81,-57.9277
82,-57.9262
83,-57.9231
84,-57.9262
85,-57.9262
86,-57.9262
87,-57.9262
88,-57.9216
89,-57.9216
90,-57.9201
91,-57.9201
92,-57.9201
93,-57.9171
94,-57.9155
95,-57.9125
96,-57.9095
97,-57.9034
98,-57.8974
99,-57.8943
100,-57.8898
