 ,um
Index,Slice0
0, -57.9337
1, -57.9292
2, -57.9292
3, -57.9231
4, -57.9231
5, -57.9171
6, -57.9155
7, -57.908
8, -57.9049
9, -57.9004
10, -57.8974
11, -57.8943
12, -57.8958
13, -57.8928
14, -57.8928
15, -57.8928
16, -57.8913
17, -57.8913
18, -57.8913
19, -57.8913
20, -57.8943
21, -57.8928
22, -57.8928
23, -57.8928
24, -57.8928
25, -57.8943
26, -57.8943
27, -57.8928
28, -57.8943
29, -57.8958
30, -57.8974
31, -57.8943
32, -57.8958
33, -57.8958
34, -57.8943
35, -57.8928
36, -57.8958
37, -57.8943
38, -57.8928
39, -57.8958
40, -57.8943
41, -57.8928
42, -57.8943
43, -57.8913
44, -57.8928
45, -57.8943
46, -57.8943
47, -57.8913
48, -57.8943
49, -57.8913
50, -57.8928
51, -57.8943
52, -57.8943
53, -57.8958
54, -57.8928
55, -57.8974
56, -57.8943
57, -57.8974
58, -57.8943
59, -57.8943
60, -57.8943
61, -57.8958
62, -57.8913
63, -57.8898
64, -57.8928
65, -57.8928
66, -57.8913
67, -57.8898
68, -57.8913
69, -57.8883
70, -57.8868
71, -57.8883
72, -57.8883
73, -57.8852
74, -57.8852
75, -57.8868
76, -57.8868
77, -57.8852
78, -57.8868
79, -57.8868
80, -57.8837
81, -57.8852
82, -57.8837
83, -57.8837
84, -57.8792
85, -57.8837
86, -57.8837
87, -57.8807
88, -57.8792
89, -57.8777
90, -57.8777
91, -57.8761
92, -57.8731
93, -57.8746
94, -57.8716
95, -57.8701
96, -57.8686
97, -57.8655
98, -57.858
99, -57.8504
100, -57.8443
