Index,Slice0 (um)
0,117.94
1,117.937
2,117.932
3,117.93
4,117.926
5,117.922
6,117.92
7,117.918
8,117.917
9,117.909
10,117.903
11,117.896
12,117.894
13,117.89
14,117.886
15,117.884
16,117.882
17,117.881
18,117.877
19,117.876
20,117.876
21,117.875
22,117.874
23,117.875
24,117.872
25,117.874
26,117.87
27,117.87
28,117.869
29,117.869
30,117.867
31,117.868
32,117.866
33,117.866
34,117.864
35,117.86
36,117.861
37,117.861
38,117.858
39,117.858
40,117.857
41,117.857
42,117.855
43,117.853
44,117.851
45,117.853
46,117.852
47,117.85
48,117.85
49,117.851
50,117.853
51,117.856
52,117.86
53,117.86
54,117.863
55,117.866
56,117.869
57,117.871
58,117.873
59,117.876
60,117.875
61,117.873
62,117.874
63,117.874
64,117.876
65,117.878
66,117.877
67,117.877
68,117.877
69,117.872
70,117.872
71,117.872
72,117.869
73,117.869
74,117.866
75,117.864
76,117.862
77,117.862
78,117.86
79,117.86
80,117.86
81,117.86
82,117.857
83,117.858
84,117.855
85,117.855
86,117.853
87,117.852
88,117.848
89,117.848
90,117.845
91,117.845
92,117.841
93,117.839
94,117.838
95,117.837
96,117.834
97,117.833
98,117.828
99,117.828
100,117.825
