 ,um
Index,Slice0
0, 118.01
1, 118.005
2, 118.001
3, 117.997
4, 117.993
5, 117.992
6, 117.989
7, 117.984
8, 117.984
9, 117.975
10, 117.972
11, 117.966
12, 117.961
13, 117.96
14, 117.956
15, 117.954
16, 117.95
17, 117.949
18, 117.948
19, 117.946
20, 117.946
21, 117.946
22, 117.944
23, 117.943
24, 117.94
25, 117.939
26, 117.938
27, 117.937
28, 117.934
29, 117.934
30, 117.934
31, 117.932
32, 117.932
33, 117.929
34, 117.928
35, 117.927
36, 117.926
37, 117.923
38, 117.921
39, 117.92
40, 117.918
41, 117.919
42, 117.918
43, 117.918
44, 117.915
45, 117.915
46, 117.916
47, 117.915
48, 117.915
49, 117.915
50, 117.919
51, 117.919
52, 117.924
53, 117.927
54, 117.928
55, 117.931
56, 117.932
57, 117.936
58, 117.937
59, 117.937
60, 117.94
61, 117.937
62, 117.937
63, 117.937
64, 117.939
65, 117.941
66, 117.939
67, 117.941
68, 117.943
69, 117.939
70, 117.935
71, 117.935
72, 117.932
73, 117.931
74, 117.931
75, 117.927
76, 117.925
77, 117.925
78, 117.924
79, 117.925
80, 117.924
81, 117.922
82, 117.919
83, 117.921
84, 117.92
85, 117.918
86, 117.918
87, 117.915
88, 117.911
89, 117.909
90, 117.907
91, 117.908
92, 117.905
93, 117.903
94, 117.9
95, 117.899
96, 117.898
97, 117.895
98, 117.894
99, 117.891
100, 117.888
