 ,um
Index,Slice0
0, -63.8117
1, -63.8117
2, -63.8117
3, -63.8117
4, -63.8117
5, -63.8117
6, -63.8117
7, -63.8117
8, -63.8117
9, -63.8117
10, -63.8117
11, -63.8117
12, -63.8117
13, -63.8117
14, -63.8117
15, -63.8117
16, -63.8117
17, -63.8117
18, -63.8117
19, -63.8117
20, -63.8117
21, -63.8117
22, -63.8117
23, -63.8117
24, -63.8117
25, -63.8117
26, -63.8117
27, -63.8117
28, -63.8117
29, -63.8117
30, -63.8117
31, -63.8117
32, -63.8117
33, -63.8117
34, -63.8117
35, -63.8117
36, -63.8117
37, -63.8117
38, -63.8117
39, -63.8117
40, -63.8117
41, -63.8117
42, -63.8117
43, -63.8117
44, -63.8117
45, -63.8117
46, -63.8117
47, -63.8117
48, -63.8117
49, -63.8117
50, -63.8117
51, -63.8117
52, -63.8117
53, -63.8117
54, -63.8117
55, -63.8117
56, -63.8117
57, -63.8117
58, -63.8117
59, -63.8117
60, -63.8117
61, -63.8117
62, -63.8117
63, -63.8117
64, -63.8117
65, -63.8117
66, -63.8117
67, -63.8117
68, -63.8117
69, -63.8117
70, -63.8117
71, -63.8117
72, -63.8117
73, -63.8117
74, -63.8117
75, -63.8117
76, -63.8117
77, -63.8117
78, -63.8117
79, -63.8117
80, -63.8117
81, -63.8117
82, -63.8117
83, -63.8117
84, -63.8117
85, -63.8117
86, -63.8117
87, -63.8117
88, -63.8117
89, -63.8117
90, -63.8117
91, -63.8117
92, -63.8117
93, -63.8117
94, -63.8117
95, -63.8117
96, -63.8117
97, -63.8117
98, -63.8117
99, -63.8117
100, -63.8117
